domain,model,rouge1,rouge2,rougeL,semantic_similarity,compression_ratio,inference_time
Finance,M1,0.5983400000000001,0.5714,0.5983400000000001,0.87544,0.4373,14.469399999999998
Finance,M2,0.5073399999999999,0.47146,0.50478,0.84728,0.373,8.1356
Finance,M3,0.02076,0.0,0.01862,0.053139996,0.74526,30.722
Finance,M4,0.98436,0.98422,0.98436,0.99175996,0.97258,17.1684
Finance,M5,0.6340199999999999,0.5984400000000001,0.63144,0.89040005,0.50526,10.365599999999999
Music,M1,0.5718799999999999,0.54674,0.5718799999999999,0.84569997,0.40126,14.1488
Music,M2,0.55268,0.52174,0.55268,0.83458006,0.41441999999999996,9.777199999999999
Music,M3,0.016900000000000002,0.0,0.013120000000000001,0.0077800006,0.6758,30.0536
Music,M4,0.97674,0.9765,0.97674,0.9908,0.95428,17.555799999999998
Music,M5,0.60698,0.5697599999999999,0.60448,0.86294,0.46692,9.234
Politics,M1,0.59562,0.55404,0.59332,0.84642,0.43624,14.7584
Politics,M2,0.52868,0.43376000000000003,0.49544,0.81854,0.44930000000000003,9.355599999999999
Politics,M3,0.016739999999999998,0.0,0.016739999999999998,0.10522,0.61214,22.982999999999997
Politics,M4,0.98024,0.9800599999999999,0.98024,0.99505997,0.96456,23.8986
Politics,M5,0.63358,0.60106,0.63358,0.88887995,0.49454000000000004,10.8796
Sports,M1,0.52712,0.49955999999999995,0.51388,0.81382,0.36036,12.693999999999999
Sports,M2,0.49894,0.45206,0.49894,0.80872,0.38312,8.7758
Sports,M3,0.02672,0.0,0.02434,0.05038,0.60814,23.565
Sports,M4,0.9625199999999999,0.9621600000000001,0.9625199999999999,0.98176,0.9350799999999999,15.9738
Sports,M5,0.60226,0.56648,0.56148,0.89234,0.46304,9.41
