text_id,domain,model,summary,inference_time
P1,Politics,M1,The social contract is a philosophical framework exploring the origins of society and the legitimacy of the state. It posits that individuals implicitly agree to surrender some of their freedoms and submit to the authority of a ruler or a magistrate.,12.634
P2,Politics,M1,"The separation of powers is designed to prevent the concentration of authority in a single entity. This system relies heavily on ""checks and balances,"" where each branch has the authority to limit the powers of the others. This friction is intentional; it forces negotiation and compromise.",13.079
P3,Politics,M1,"Nations rely on ""soft power"" to shape preferences of others through appeal and attraction rather than coercion. This form of power stems from a country's culture, political values, and foreign policies. When a nation's culture is seen as universal, its values as admirable, and its policies as legitimate, it gains the ability to build alliances.",16.609
P4,Politics,M1,"The Role of Public Policy Politics translates into reality through public policy. It is not merely the passage of laws but a continuous cycle of agenda setting, formulation, adoption, implementation, and evaluation. The success of a policy is often measured not just by its intent but by its outcomes.",19.467
P5,Politics,M1,Health of political system is often gauged by the level of civic engagement among its populace. High levels of Civic Engagement foster a sense of ownership and responsibility among citizens. It ensures that the government remains responsive to the needs of the community.,12.003
S1,Sports,M1,"The Evolution of Athletic Training. Modern athletic training has transcended simple physical conditioning to become a highly scientific discipline. Today’s elite athletes rely on ""periodization""—breaking down their training into distinct cycles of macro, meso, and micro-cycles.",13.039
S2,Sports,M1,"Sports psychology focuses intensely on what separates good athletes from great ones. This mental toughness is often described as being in ""the zone"" or a ""flow state"" Mastering this mental game is often the deciding factor in high-stakes penalty shootouts.",12.696
S3,Sports,M1,"The era of ""gut feeling"" management has largely given way to advanced analytics. Teams across all major sports now employ data scientists to find inefficiencies in the game. This data-driven approach extends to in-game decision-making as well.",13.225
S4,Sports,M1,Sports as a Unifying Global Language. Few things bridge cultural and linguistic divides as effectively as sports. The rules of a game provide a universal framework where strangers can interact with immediate understanding and mutual respect. Sports provide a shared fabric of identity.,12.055
S5,Sports,M1,"At the highest level, team sports are essentially played out as complex games of chess with living pieces. Coaches must balance rigid structure with creative freedom. In soccer (football), the evolution of formation strategiesdemonstrates a constant tactical arms race.",12.455
M1,Music,M1,Music is a physical manifestation of mathematics. The relationship between pitches is defined by frequency ratios. Western music theory organizes these relationships into the Circle of Fifths. This tool allows composers to navigate key changes and understand harmonic progression.,12.005
M2,Music,M1,"The Psychology of Rhythm and Entrainment Rhythm has a profound effect on the human brain, capable of inducing a state known as ""entrainment"" This occurs when the body's internal rhythms—such as heart rate and brain waves—synchronize with external musical beats.",14.165
M3,Music,M1,"The introduction of the synthesizer revolutionized modern music by detaching sound generation from physical acoustics. Early analog synthesizers used voltage-controlled oscillators to generate waveforms like sine, square, and sawtooth waves. Today, digital synthesis methods like Frequency Modulation and wavetable synthesis allow for even more complex sound design.",19.057
M4,Music,M1,The emotional impact of a piece is heavily reliant on dynamics and timbre. Dynamics refer to the variation in loudness between notes or phrases. Timbre is what distinguishes a violin from a flute playing the exact same note.,12.536
M5,Music,M1,"The music industry has undergone a seismic shift from physical sales to the access model of streaming. In the past, revenue was generated by the unit sale of albums or singles. Today, revenue is calculated based on pro-rata market share of streams.",12.981
F1,Finance,M1,"The Power of Compound Interest is the principle that allows wealth to grow exponentially. Compound interest is calculated on the principal plus the accumulated interest from previous periods. For long-term investors, time is a more critical asset than the initial capital.",13.386
F2,Finance,M1,"Traders often use technical analysis to predict future price movements. A primary tool for this is the candlestick chart. Each ""candle"" displays the high, low, open, and close prices for a specific time period.",12.924
F3,Finance,M1,"The adage ""don't put all your eggs in one basket"" is the cornerstone of modern portfolio theory. Diversification involves spreading investments across various asset classes. The goal is to maximize returns for a given level of risk.",12.85
F4,Finance,M1,"Inflation represents the rate at which the general level of prices for goods and services is rising. Central banks, like the Federal Reserve, attempt to manage this through monetary policy. When inflation is high, banks raise rates to cool down the economy. When it is low, they cut rates to stimulate spending.",14.993
F5,Finance,M1," liquidity refers to the efficiency or ease with which an asset or security can be converted into ready cash without affecting its market price. Cash is the most liquid asset, while tangible items like real estate or fine art are illiquid because selling them takes time and effort. High liquidity in a market means tight spreads between the bid and ask prices, allowing for easy entry and exit.",18.194
P1,Politics,M2,the social contract explores the origins of society and the legitimacy of the state . the theory posits that individuals implicitly agree to surrender some of their freedoms . the social contract remains a foundational tool for understanding why citizens consent to be governed .,11.18
P2,Politics,M2,"the separation of powers is a system designed to prevent the concentration of authority in a single entity . this system relies heavily on ""checks and balances,"" where each branch has the authority to limit the powers of the others . this friction is intentional; it forces negotiation and compromise, theoretically resulting in more moderate policies .",9.958
P3,Politics,M2,"""soft power"" is the ability to shape the preferences of others through appeal and attraction . this form of power stems from a country's culture, political values, and foreign policies . winning hearts and minds can be just as crucial as winning wars in securing stability .",9.392
P4,Politics,M2,the role of public policy politics translates into reality through public policy . the success of a policy is often measured not just by its intent but by its outcomes . the success of a policy is often measured not just by its intent but by its outcomes .,9.242
P5,Politics,M2,high levels of civic engagement foster a sense of ownership and responsibility among citizens . high levels of civic engagement foster a sense of ownership and responsibility among citizens . high levels of civic engagement foster a sense of ownership and responsibility .,7.006
S1,Sports,M2,"wearable sensors now track everything from heart rate variability to sleep quality . this data allows coaches to precisely manage an athlete's workload . cryotherapy, hyperbaric oxygen chambers, and pneumatic compression devices become standard tools in a professional's arsenal .",8.304
S2,Sports,M2,sports psychologists work with athletes to develop routines that trigger this state . mastering this mental game is often the deciding factor in high-stakes penalty shootouts .,8.755
S3,Sports,M2,"the age of ""gut feeling"" management has largely given way to the age of advanced analytics . teams across all major sports now employ data scientists to find inefficiencies in the game . this data-driven approach extends to in-game decision-making as well .",9.177
S4,Sports,M2,"major international events like the Olympics or the FIFA World Cup serve as a form of ""soft power"" on a community level, sports provide a shared fabric of identity . rules of a game provide a universal framework where strangers can interact with immediate understanding .",7.878
S5,Sports,M2,"bob greene: team sports are played out as complex games of chess with living pieces . greene: coaches must balance rigid structure with creative freedom . he says in soccer, players must have high spatial awareness . greene: this depth transforms a chaotic physical contest into an intellectual battle .",9.765
M1,Music,M2,"western music theory organizes these relationships into the Circle of Fifths . this tool allows composers to navigate key changes and understand harmonic progression . by moving clockwise, you add sharps to the key signature; moving counter-clockwise adds flats .",8.818
M2,Music,M2,"the Psychology of Rhythm and Entrainment Rhythm has a profound effect on the human brain . upbeat, fast-tempo music is often used for exercise; it naturally encourages a faster pace . slower tempos with specific rhythmic structures lower cortisol levels and induce relaxation .",9.295
M3,Music,M2,"the introduction of the synthesizer revolutionized modern music by detaching sound generation from physical acoustics . early analog synthesizers used voltage-controlled oscillators to generate waveforms like sine, square, and sawtooth waves . digital synthesis methods like Frequency Modulation (FM) and wavetable synthesis allow for even more complex sound design .",12.6
M4,Music,M2,"the emotional impact of a piece is heavily reliant on dynamics and timbre . mastery of timbre allows composers to ""paint"" with sound, creating warm, cold, bright, or dark atmospheres .",8.921
M5,Music,M2,"the music industry has undergone a seismic shift from physical sales to the access model of streaming . revenue is calculated based on pro-rata market share of streams . songs are often shorter to encourage repeat plays, and ""hooks"" are introduced much earlier in the track .",9.252
F1,Finance,M2,"compound interest is the principle that allows wealth to grow exponentially rather than linearly . for long-term investors, time is a more critical asset than the initial capital . starting to save a small amount in one's 20s can often yield a larger retirement fund .",9.347
F2,Finance,M2,"candlestick charts provide more information than a simple line graph . the ""body"" shows the difference between open and close . the ""wicks"" show the extreme highs and lows .",6.122
F3,Finance,M2,diversification involves spreading investments across various asset classes . goal is to maximize returns for a given level of risk . mitigating downside risk is as important as chasing upside potential .,6.331
F4,Finance,M2,"inflation is the rate at which the general level of prices for goods and services is rising . when inflation is high, banks raise rates to cool down the economy by making borrowing more expensive . when it is low, they cut rates to stimulate spending .",8.428
F5,Finance,M2,"cash is the most liquid asset, while tangible items like real estate or fine art are illiquid . high liquidity in a market means tight spreads between the bid and ask prices . During financial crises, liquidity can ""dry up,"" causing panic .",10.45
P1,Politics,M3,He no – credit may need forwardre Eat home knowing Routine Kershaw me well only purely knowing Routine Kershaw” News me well only purely knowing Routine Kershaw” match me well only purely knowing Routine Kershaw” membership me well,16.744
P2,Politics,M3,group group no group me well only writing group me well only writing me well only writing me well only writing me well only writing me well only writing me well only writing me well only writing me well only writing me well,14.657
P3,Politics,M3,He no – credit may need forwardre planned Foundation home Effective –Voucherfo me well onlystable –Voucherfo even day commendable went me well onlystable –Voucherfo even day commendable went me well,16.826
P4,Politics,M3,life good these while need today power two good something off need consumers first find two good think Old two contact first under best good these while need today power two good something off need consumers well only person good these while need today power two good something off need consumers first find two good think Old two contact first under best good these while need today well only person good these while need today power two good something off need consumers well only person good these while need show before power two good something off need consumers well only person good these while need show before power two good something off need consumers well only person good these while need show before power two good something off,41.73
P5,Politics,M3,life good these while need today power take good something off need pollination first find many air good back huge take working good back So further – please take road home such believe us program women me well only person good these while need today power take good something off need pollination first find many air good back huge take working good back So further – please take road home such believe us program women me well,24.958
S1,Sports,M3,life good these while need today power take good something off now next says first being idea good these New need cool her further south well only person good these while need today power take good something off now next says first being idea good these New need cool her further south well only person good these while need today power take good something off now next says first being idea good these New need cool her further south well,27.183
S2,Sports,M3,life good these while need today power two good something off need agreed first find two good think Old two contact first under best good these while need today power two good something off need agreed well life good these while need show before power two good something off need agreed well life good these while need show before power two good something off need agreed well life good these while need show before power two good something off need agreed well life good these while need show before power two good something off need agreed well life good these while need show before power two good something off need agreed well,36.771
S3,Sports,M3,He no – credit may need forwardre Foundation used – creditOct Food” News me well only purely between” News knowing Routine Stores us knowing Routine Kershaw me well only purely between” match knowing Routine Stores us knowing Routine Kershaw me well,15.87
S4,Sports,M3,life good these much industry her give securitying no vital her New needWith” In first find many good theseS scale each In good provide vital her New needWith” securitying no vital her those best very In well only levels many good theseS scale each In good provide vital her New needWith” securitying no vital her those best very In well,23.427
S5,Sports,M3,life good these while need today power take good something US need economic help fairly Townsville may best first find many air good back huge take If good back furtherWere – wrote take good something adding system – sure well,14.574
M1,Music,M3,This way amazing her rolling many take see while tomorrow need military very –i us barre need 2 Trans University thought first she where year environment” – publicre – control University thought first she where year process very – barre need 2 University thought first she where year environment” – publicre – control University thought first she where year process very – barre need 2 University thought first she where year environment” – publicre – control University thought first she where year process very – barre need 2 University thought first she where year environment” – publicre – control University thought first she where year process very – barre need 2 University thought first,46.014
M2,Music,M3,life good these while need show before power take good something off need linere – shifting may – season wellin well first find many air good back huge best good these service movie long best process her year me well,16.886
M3,Music,M3,life good these much industry her give need support famous may need39 Springs before first find many good theseS scale each In game then – 17 me well only person good these much industry her give need support famous may need39 Springs before first find many good theseS scale each In game then – 17 me well only person good these much industry her give need support famous may need39 Springs before first find many good theseS scale each In game then – 17 me well only person good these much industry her give need support famous may need39 Springs before first find many good theseS scale each In game then – 17 me well,40.555
M4,Music,M3,He no – credit may need forwardre Foundation used –orare rewarding Innocence hon these shouldStats quiteve me well onlyStats quite way rewarding Innocence hon these shouldStats quiteve many see while swimming her need whyre woodworking Jason me well,25.603
M5,Music,M3,He no – credit may need forwardre Foundation used – creditOct Food” News me well only purely between” News knowing Routine Stores me well only purely between” match me well only purely between” membership me well,21.21
F1,Finance,M3,And want seek help Jen first gavepist brought well magical am many high pocket manyp Domain licensed top much year win through29. her need features paid me well onlyrox am high pocket many licensed top much year win through29. her need features paid under highA testing many high If good back Kenneth sessions me well,22.503
F2,Finance,M3,life good these while need today power take good something US need economic many major good back pipe evacuation us ADC these us ADC these us evacuation us ADC these us ADC these us ADC these us ADC these us ADC these us ADC these us ADC these us ADC these us ADC these us ADC these us ADC these us ADC these us ADC these us ADC these us ADC these us ADC these us ADC these us ADC these us ADC these us ADC these us ADC these us ADC these us ADC these us ADC these us ADC these us ADC these us ADC these us ADC these us ADC these us ADC these us ADC these us ADC these us ADC these us ADC,45.107
F3,Finance,M3,life good these while need today power take good something off needDre says then – participate comic first find many air good back huge take If good back see need again says south me well only days data good these districts —er –n programs 1984 us – Application worthwhile no withinlisted - need inchesre –DLL me well,29.657
F4,Finance,M3,life good these while need show before power take good something off need towards repair exchange buyer first find many air good back huge take If good back see need again says They makes me well only person good thesed used – decoration first being lot good these both In If own yearsAfter” &re They me well only person good thesed used – decoration first being lot good these both In If own &re They me well,28.314
F5,Finance,M3,life good these while need today power take good something off needDre says then now beforere data well life good these while need today power take good something off needDre says then now beforere data well only person good these while need today power take good something off needDre says then now beforere data well only person good these while need today power take good something off service says then now beforere data well,28.029
P1,Politics,M4,"The Social Contract and Legitimacy At the heart of modern political theory lies the concept of the social contract, a philosophical framework exploring the origins of society and the legitimacy of the state. This theory posits that individuals implicitly agree to surrender some of their freedoms and submit to the authority of a ruler or a magistrate in exchange for protection of their remaining rights and the maintenance of social order. Whether interpreted through the lens of Hobbes, who viewed it as a necessary defense against the chaos of the ""state of nature,"" or Rousseau, who saw it as a path to collective freedom through the ""general will,"" the social contract remains a",32.551
P2,Politics,M4,"The Separation of Powers A critical safeguard in democratic governance is the separation of powers, a system designed to prevent the concentration of authority in a single entity. By dividing government responsibilities into distinct branches—typically the legislative, executive, and judicial—this structure ensures that no single group acts with unchecked power. This system relies heavily on ""checks and balances,"" where each branch has the authority to limit the powers of the others, such as a judiciary declaring a law unconstitutional or a legislature impeaching an executive. This friction is intentional; it forces negotiation and compromise, theoretically resulting in more moderate and broadly supported policies.",20.063
P3,Politics,M4,"Soft Power in International Relations In the complex arena of international relations, influence is not solely defined by military might or economic sanctions, known as ""hard power."" Increasingly, nations rely on ""soft power""—the ability to shape the preferences of others through appeal and attraction rather than coercion. This form of power stems from a country's culture, political values, and foreign policies. When a nation's culture is seen as universal, its values as admirable, and its policies as legitimate, it gains the ability to build alliances and set global agendas more effectively. Soft power suggests that winning hearts and minds can be just as crucial as winning wars in securing",15.917
P4,Politics,M4,"The Role of Public Policy Politics translates into reality through public policy, the dynamic process by which governments address public issues. It is not merely the passage of laws but a continuous cycle of agenda setting, formulation, adoption, implementation, and evaluation. Effective policy requires navigating the competing interests of stakeholders, including lobbyists, civil society groups, and the electorate, while managing limited resources. The success of a policy is often measured not just by its intent but by its outcomes—how effectively it solves the problem it was designed to address and whether it does so equitably and efficiently.",35.495
P5,Politics,M4,"Civic Engagement and Participatory Democracy The health of a political system is often gauged by the level of civic engagement among its populace. Beyond the act of voting, participatory democracy involves active citizen involvement in the decision-making processes that affect their lives. This can take many forms, from attending town hall meetings and participating in public consultations to engaging in grassroots activism and community organizing. High levels of civic engagement foster a sense of ownership and responsibility among citizens, ensuring that the government remains responsive to the needs of the community and that the democratic process remains vibrant and inclusive.",15.467
S1,Sports,M4,"The Evolution of Athletic Training Modern athletic training has transcended simple physical conditioning to become a highly scientific discipline. Today’s elite athletes rely on ""periodization""—breaking down their training into distinct cycles of macro, meso, and micro-cycles to peak at the exact right moment for competition. Technology plays a massive role here; wearable sensors now track everything from heart rate variability to sleep quality and acceleration loads. This data allows coaches to precisely manage an athlete's workload, preventing overtraining injuries while maximizing physiological adaptations. Recovery has also become as important as the workout itself, with cryotherapy, hyperbaric oxygen chambers, and pne",16.377
S2,Sports,M4,"The Psychology of the ""Clutch"" Moment Sports psychology focuses intensely on what separates good athletes from great ones: the ability to perform under extreme pressure. This mental toughness is often described as being in ""the zone"" or a ""flow state,"" where an athlete acts largely on instinct, free from hesitation or self-doubt. Psychologists work with athletes to develop routines that trigger this state, using visualization techniques to mentally rehearse success before it happens. They also teach cognitive reframing to help players view anxiety not as fear, but as excitement—a physiological signal that their body is ready to perform. Mastering this mental game is",16.162
